1,Fairy Tail,1,328
2,Anohana,1,11
3,Eighty-Six,1,23
4,Sword Art Online,1,24
5,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks,2,12
6,Fist of the Blue Sky,3,24
7,Regalia: The Three Sacred Stars,4,13
8,Girls und Panzer,4,6
9,Ascendance of a Bookworm,5,29
10,How Not to Summon a Demon Lord,5,12
11,Date A Live,6,12
12,Love Election and Chocolate,6,12
13,Valkyrie Drive,7,12
14,Maoyu,7,12
15,Reborn!,8,203
16,Seven Mortal Sins,8,10
17,Cho Kosoku Galvion,9,22
18,Irina The Vampire Cosmonaut,10,12
19,Monster Girl Doctor,10,12
20,Girls' Frontline,11,12
21,In Another World with My Smartphone,12,12
22,Arifureta,13,13
23,World's End Harem,14,11
24,Gin Tama,15,13
25,Welcome to Demon School Iruma-kun,15,23
26,Blade of the Immortal,16,13
27,Azur Lane,17,12
28,Given,18,11
29,My Hero Academia,19,38
30,Noragami,19,12
31,Servamp,20,12
32,Shaman King,21,64
33,Dragonar Academy,22,12
34,Tsukimichi Moonlit Fantasy,23,12
35,WorldEnd,23,12
36,Comic Party Revolution,24,4
37,Spy × Family,25,3
38,My Dress-Up Darling,25,12
39,Darling in the Franxx,25,24
40,Tona-Gura,26,13
41,Cells at Work,27,13
42,Fire Force,27,48
43,The Magnificent Kotobuki,28,12
44,Kantai Collection,29,12
45,My Girlfriend Is Shobitch,29,10
46,Infinite Stratos,30,24
47,That Time I Got Reincarnated as a Slime,30,48
48,Bonobono,31,48
49,Drugstore in Another World,32,12
50,Assassins Pride,32,12
51,Happy Sugar Life,33,12
52,The Yakuza Guide to Babysitting,34,12
53,Evangelion,35,12
54,The Qwaser of Stigmata,36,24
55,Is It Wrong to Try to Pick Up Girls in a Dungeon?,37,13
56,Prison School,37,12
57,Violet Evergarden,38,13
58,Love Chunibyo & Other Delusions,38,12
59,Hyouka,38,22
60,Kengan Ashura,39,24
61,Hunter × Hunter,40,62
62,Overlord,40,39
63,By the Grace of the Gods,41,12
64,Attack on Titan,42,28
65,Takt Op,42,12
66,Jujutsu Kaisen,42,24
67,Darwin Game,43,11
68,Chivalry of a Failed Knight,43,12
69,Let's Make a Mug Too,44,24
70,Beastars,45,24
71,Black Bullet,45,13
72,One Piece,46,1015
73,Toriko,46,147
74,Sailor Moon,46,46
75,My Neighbor Totoro,47,1
76,Grave of the Fireflies,47,1
77,The Mystery of Mamo,48,178
78,Bakugan,48,39
79,Kimetsu no Yaiba,49,26
80,Fate/Zero,49,25
81,Fate/stay night,49,25
82,Charlotte,50,13
83,Angel Beats,50,13
84,nagi no asukara,50,26